activation_method,add_relu_to_downsample,augmentation_level,batch_norm,batch_size,bits,bits_a,builtin_profiler,clip_threshold,data_dir,data_path,dataset,dry_run,dtype,epochs,fp_downsample_sc,gpus,growth_rate,init_features,initialization,kvstore,log,log_interval,lr,lr_factor,lr_steps,mean_subtraction,mode,model,momentum,num_workers,optimizer,plot_network,pool_downsample_sc,prefix,profile,reduction,resume,save_frequency,seed,slices,start_epoch,use_approx_sign,use_pretrained,wd,weight_quantization,write_summary,epoch,time,exp_folder_name,val_acc,val_acc_top_k_5,train_acc,train_acc_top_k_5
sign_approx_sign,,3,,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,False,float32,40,True,"0,1,2,3",,,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,resnet18_e1-scaled,0.9,4,adam,meta/plot,True,model,False,,,1,123,1,0,,False,0.0,sign_approx_sign,meta/tblogs'),1, 1510.845337,.,0.167809,0.367467,0.100994,0.240516
sign_approx_sign,,3,,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,False,float32,40,True,"0,1,2,3",,,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,resnet18_e1-scaled,0.9,4,adam,meta/plot,True,model,False,,,1,123,1,0,,False,0.0,sign_approx_sign,meta/tblogs'),2, 1496.430665,.,0.278405,0.517388,0.252020,0.479166
sign_approx_sign,,3,,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,False,float32,40,True,"0,1,2,3",,,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,resnet18_e1-scaled,0.9,4,adam,meta/plot,True,model,False,,,1,123,1,0,,False,0.0,sign_approx_sign,meta/tblogs'),3, 1495.949485,.,0.325641,0.576322,0.328782,0.572151
sign_approx_sign,,3,,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,False,float32,40,True,"0,1,2,3",,,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,resnet18_e1-scaled,0.9,4,adam,meta/plot,True,model,False,,,1,123,1,0,,False,0.0,sign_approx_sign,meta/tblogs'),4, 1515.527009,.,0.349550,0.595623,0.375080,0.621650
sign_approx_sign,,3,,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,False,float32,40,True,"0,1,2,3",,,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,resnet18_e1-scaled,0.9,4,adam,meta/plot,True,model,False,,,1,123,1,0,,False,0.0,sign_approx_sign,meta/tblogs'),5, 1519.223840,.,0.386418,0.636619,0.407154,0.653501
sign_approx_sign,,3,,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,False,float32,40,True,"0,1,2,3",,,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,resnet18_e1-scaled,0.9,4,adam,meta/plot,True,model,False,,,1,123,1,0,,False,0.0,sign_approx_sign,meta/tblogs'),6, 1514.363360,.,0.404227,0.654107,0.430111,0.675947
sign_approx_sign,,3,,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,False,float32,40,True,"0,1,2,3",,,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,resnet18_e1-scaled,0.9,4,adam,meta/plot,True,model,False,,,1,123,1,0,,False,0.0,sign_approx_sign,meta/tblogs'),7, 1511.424137,.,0.404875,0.654516,0.448429,0.693149
sign_approx_sign,,3,,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,False,float32,40,True,"0,1,2,3",,,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,resnet18_e1-scaled,0.9,4,adam,meta/plot,True,model,False,,,1,123,1,0,,False,0.0,sign_approx_sign,meta/tblogs'),8, 1510.103168,.,0.411198,0.662019,0.463055,0.706840
sign_approx_sign,,3,,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,False,float32,40,True,"0,1,2,3",,,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,resnet18_e1-scaled,0.9,4,adam,meta/plot,True,model,False,,,1,123,1,0,,False,0.0,sign_approx_sign,meta/tblogs'),9, 1510.317901,.,0.428005,0.673538,0.475538,0.717856
sign_approx_sign,,3,,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,False,float32,40,True,"0,1,2,3",,,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,resnet18_e1-scaled,0.9,4,adam,meta/plot,True,model,False,,,1,123,1,0,,False,0.0,sign_approx_sign,meta/tblogs'),10, 1513.543480,.,0.428532,0.674944,0.485651,0.726791
