augmentation_level,batch_norm,batch_size,bits,bits_a,builtin_profiler,clip_threshold,data_dir,data_path,dataset,dry_run,dtype,epochs,fp_downsample_sc,gpus,growth_rate,init_features,initialization,kvstore,log,log_interval,lr,lr_factor,lr_steps,mean_subtraction,mode,model,momentum,num_workers,optimizer,plot_network,pool_downsample_sc,prefix,profile,reduction,resume,save_frequency,seed,slices,start_epoch,use_approx_sign,use_pretrained,wd,write_summary,epoch,time,exp_folder_name,val_acc,val_acc_top_k_5,train_acc,train_acc_top_k_5
3,False,128,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,False,float32,40,True,"0,1",None,None,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,resnet18_e1,0.9,4,adam,meta/plot,True,model,False,None,,1,123,4,0,True,False,0.0,meta/tblogs'),1,,.,0.232057,0.457161,0.128718,0.287964
3,False,128,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,False,float32,40,True,"0,1",None,None,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,resnet18_e1,0.9,4,adam,meta/plot,True,model,False,None,,1,123,4,0,True,False,0.0,meta/tblogs'),2,,.,0.320572,0.565777,0.296378,0.534933
3,False,128,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,False,float32,40,True,"0,1",None,None,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,resnet18_e1,0.9,4,adam,meta/plot,True,model,False,None,,1,123,4,0,True,False,0.0,meta/tblogs'),3,,.,0.358594,0.605829,0.370225,0.616967
3,False,128,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,False,float32,40,True,"0,1",None,None,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,resnet18_e1,0.9,4,adam,meta/plot,True,model,False,None,,1,123,4,0,True,False,0.0,meta/tblogs'),4,,.,0.401834,0.651674,0.412935,0.660416
3,False,128,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,False,float32,40,True,"0,1",None,None,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,resnet18_e1,0.9,4,adam,meta/plot,True,model,False,None,,1,123,4,0,True,False,0.0,meta/tblogs'),5,,.,0.419317,0.668358,0.442685,0.688035
3,False,128,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,False,float32,40,True,"0,1",None,None,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,resnet18_e1,0.9,4,adam,meta/plot,True,model,False,None,,1,123,4,0,True,False,0.0,meta/tblogs'),6,,.,0.444171,0.689683,0.464040,0.708780
3,False,128,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,False,float32,40,True,"0,1",None,None,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,resnet18_e1,0.9,4,adam,meta/plot,True,model,False,None,,1,123,4,0,True,False,0.0,meta/tblogs'),7,,.,0.454664,0.701367,0.480817,0.723599
3,False,128,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,False,float32,40,True,"0,1",None,None,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,resnet18_e1,0.9,4,adam,meta/plot,True,model,False,None,,1,123,4,0,True,False,0.0,meta/tblogs'),8,,.,0.455569,0.700541,0.494635,0.735526
3,False,128,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,False,float32,40,True,"0,1",None,None,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,resnet18_e1,0.9,4,adam,meta/plot,True,model,False,None,,1,123,4,0,True,False,0.0,meta/tblogs'),9,,.,0.464754,0.712236,0.506239,0.745435
3,False,128,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,False,float32,40,True,"0,1",None,None,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,resnet18_e1,0.9,4,adam,meta/plot,True,model,False,None,,1,123,4,0,True,False,0.0,meta/tblogs'),10,,.,0.474684,0.717511,0.515122,0.752884
3,False,128,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,False,float32,40,True,"0,1",None,None,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,resnet18_e1,0.9,4,adam,meta/plot,True,model,False,None,,1,123,4,0,True,False,0.0,meta/tblogs'),11,,.,0.478966,0.724359,0.523321,0.760482
3,False,128,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,False,float32,40,True,"0,1",None,None,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,resnet18_e1,0.9,4,adam,meta/plot,True,model,False,None,,1,123,4,0,True,False,0.0,meta/tblogs'),12,,.,0.485074,0.727182,0.530632,0.766798
3,False,128,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,False,float32,40,True,"0,1",None,None,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,resnet18_e1,0.9,4,adam,meta/plot,True,model,False,None,,1,123,4,0,True,False,0.0,meta/tblogs'),13,,.,0.472267,0.718670,0.537080,0.771773
3,False,128,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,False,float32,40,True,"0,1",None,None,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,resnet18_e1,0.9,4,adam,meta/plot,True,model,False,None,,1,123,4,0,True,False,0.0,meta/tblogs'),14,,.,0.494391,0.735357,0.542995,0.776582
3,False,128,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,False,float32,40,True,"0,1",None,None,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,resnet18_e1,0.9,4,adam,meta/plot,True,model,False,None,,1,123,4,0,True,False,0.0,meta/tblogs'),15,,.,0.494545,0.735234,0.548110,0.780597
3,False,128,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,False,float32,40,True,"0,1",None,None,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,resnet18_e1,0.9,4,adam,meta/plot,True,model,False,None,,1,123,4,0,True,False,0.0,meta/tblogs'),16,,.,0.500441,0.741687,0.552440,0.784670
3,False,128,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,False,float32,40,True,"0,1",None,None,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,resnet18_e1,0.9,4,adam,meta/plot,True,model,False,None,,1,123,4,0,True,False,0.0,meta/tblogs'),17,,.,0.502757,0.744166,0.556637,0.788163
3,False,128,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,False,float32,40,True,"0,1",None,None,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,resnet18_e1,0.9,4,adam,meta/plot,True,model,False,None,,1,123,4,0,True,False,0.0,meta/tblogs'),18,,.,0.504556,0.746583,0.560706,0.791433
3,False,128,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,False,float32,40,True,"0,1",None,None,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,resnet18_e1,0.9,4,adam,meta/plot,True,model,False,None,,1,123,4,0,True,False,0.0,meta/tblogs'),19,,.,0.499219,0.741306,0.564883,0.794256
3,False,128,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,False,float32,40,True,"0,1",None,None,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,resnet18_e1,0.9,4,adam,meta/plot,True,model,False,None,,1,123,4,0,True,False,0.0,meta/tblogs'),20,,.,0.508432,0.747782,0.567734,0.796986
3,False,128,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,False,float32,40,True,"0,1",None,None,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,resnet18_e1,0.9,4,adam,meta/plot,True,model,False,None,,1,123,4,0,True,False,0.0,meta/tblogs'),21,,.,0.510650,0.748981,0.570573,0.799230
