activation_method,add_relu_to_downsample,augmentation_level,batch_norm,batch_size,bits,bits_a,builtin_profiler,clip_threshold,data_dir,data_path,dataset,dry_run,dtype,epochs,fp_downsample_sc,gpus,growth_rate,init_features,initialization,kvstore,log,log_interval,lr,lr_factor,lr_steps,mean_subtraction,mode,model,momentum,num_workers,optimizer,plot_network,pool_downsample_sc,prefix,profile,reduction,resume,save_frequency,seed,slices,start_epoch,use_approx_sign,use_pretrained,wd,weight_quantization,write_summary,epoch,time,exp_folder_name,val_acc,val_acc_top_k_5,train_acc,train_acc_top_k_5
sign_approx_sign,,3,,64,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,False,float32,40,False,"0,1,2,3",,,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,resnet18_e1-scaled,0.9,4,adam,meta/plot,True,model,False,,,1,123,1,0,,False,0.0,sign_approx_sign,meta/tblogs'),1, 1322.528808,.,0.157565,0.350546,0.085403,0.211291
sign_approx_sign,,3,,64,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,False,float32,40,False,"0,1,2,3",,,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,resnet18_e1-scaled,0.9,4,adam,meta/plot,True,model,False,,,1,123,1,0,,False,0.0,sign_approx_sign,meta/tblogs'),2, 1334.564807,.,0.243570,0.471334,0.225442,0.445269
sign_approx_sign,,3,,64,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,False,float32,40,False,"0,1,2,3",,,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,resnet18_e1-scaled,0.9,4,adam,meta/plot,True,model,False,,,1,123,1,0,,False,0.0,sign_approx_sign,meta/tblogs'),3, 1321.613023,.,0.298718,0.540184,0.302659,0.541657
sign_approx_sign,,3,,64,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,False,float32,40,False,"0,1,2,3",,,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,resnet18_e1-scaled,0.9,4,adam,meta/plot,True,model,False,,,1,123,1,0,,False,0.0,sign_approx_sign,meta/tblogs'),4, 1334.137852,.,0.338967,0.582529,0.347968,0.592545
sign_approx_sign,,3,,64,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,False,float32,40,False,"0,1,2,3",,,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,resnet18_e1-scaled,0.9,4,adam,meta/plot,True,model,False,,,1,123,1,0,,False,0.0,sign_approx_sign,meta/tblogs'),5, 1315.666302,.,0.352544,0.598618,0.379196,0.624644
sign_approx_sign,,3,,64,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,False,float32,40,False,"0,1,2,3",,,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,resnet18_e1-scaled,0.9,4,adam,meta/plot,True,model,False,,,1,123,1,0,,False,0.0,sign_approx_sign,meta/tblogs'),6, 1317.496054,.,0.362580,0.610757,0.401720,0.647833
sign_approx_sign,,3,,64,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,False,float32,40,False,"0,1,2,3",,,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,resnet18_e1-scaled,0.9,4,adam,meta/plot,True,model,False,,,1,123,1,0,,False,0.0,sign_approx_sign,meta/tblogs'),7, 1331.434243,.,0.366410,0.610989,0.419888,0.665704
sign_approx_sign,,3,,64,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,False,float32,40,False,"0,1,2,3",,,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,resnet18_e1-scaled,0.9,4,adam,meta/plot,True,model,False,,,1,123,1,0,,False,0.0,sign_approx_sign,meta/tblogs'),8, 1314.926316,.,0.399199,0.647175,0.434132,0.679601
sign_approx_sign,,3,,64,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,False,float32,40,False,"0,1,2,3",,,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,resnet18_e1-scaled,0.9,4,adam,meta/plot,True,model,False,,,1,123,1,0,,False,0.0,sign_approx_sign,meta/tblogs'),9, 1308.687123,.,0.409034,0.655809,0.446183,0.690867
sign_approx_sign,,3,,64,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,False,float32,40,False,"0,1,2,3",,,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,resnet18_e1-scaled,0.9,4,adam,meta/plot,True,model,False,,,1,123,1,0,,False,0.0,sign_approx_sign,meta/tblogs'),10, 1317.915109,.,0.411691,0.659857,0.455644,0.699763
