num_params,num_params_q,model_size,model_size_q,flops_total,flops_fp,flops_q,flops_combined,activation_method,add_relu_to_downsample,approximation,augmentation,batch_norm,batch_size,batchnorm_at_end,bits,bits_a,block_config,builtin_profiler,clip_threshold,clip_threshold_steps,data_dir,data_path,dataset,dilated,downsample_sc_groups,downsample_structure,dry_run,dtype,epochs,fp_downsample_sc,gpus,growth_rate,improvement_block_type,init_features,initial_layers,initialization,interrupt_at,kvstore,log,log_interval,lr,lr_factor,lr_mode,lr_steps,mode,model,momentum,num_workers,optimizer,plot_network,pool_downsample_sc,prefix,profile,progress,reduction,resume,resume_states,save_frequency,seed,slices,start_epoch,test_run,use_pretrained,warmup_epochs,warmup_lr,wd,weight_quantization,write_summary,epoch,time,exp_folder_name,val_acc,val_acc_top_k_5,train_acc,train_acc_top_k_5
6948392,6119424,26.51,3.89,4810000000.0,185250000.0,4620000000.0,257500000.0,det_sign,,,medium,,32,False,1,1,"4,5,4,4",0,1.3,,/mnt/ssd1/datasets/ImageNet/extracted/rec,/mnt/ssd1/joseph/cifar,imagenet,False,,"bn,max_pool,relu,fp_conv",False,float32,120,,"0,1",64,last,64,imagenet,gaussian,None,device,image-classification.log,100,0.002000,0.1,cosine,"30,60,90",cosine,densenet_flex,0.9,4,radam,meta/plot,,model,False,meta/eta,"2.2,2.2,2",,,1,123,,0,False,False,0,0.0,0.0,det_sign,meta/tblogs,1, 6073.592856,"106_densenet_4,5,4,4_ib_radam",0.283688,0.528533,0.136176,0.296983
6948392,6119424,26.51,3.89,4810000000.0,185250000.0,4620000000.0,257500000.0,det_sign,,,medium,,32,False,1,1,"4,5,4,4",0,1.3,,/mnt/ssd1/datasets/ImageNet/extracted/rec,/mnt/ssd1/joseph/cifar,imagenet,False,,"bn,max_pool,relu,fp_conv",False,float32,120,,"0,1",64,last,64,imagenet,gaussian,None,device,image-classification.log,100,0.001999,0.1,cosine,"30,60,90",cosine,densenet_flex,0.9,4,radam,meta/plot,,model,False,meta/eta,"2.2,2.2,2",,,1,123,,0,False,False,0,0.0,0.0,det_sign,meta/tblogs,2, 6066.297620,"106_densenet_4,5,4,4_ib_radam",0.386104,0.641965,0.292435,0.524096
6948392,6119424,26.51,3.89,4810000000.0,185250000.0,4620000000.0,257500000.0,det_sign,,,medium,,32,False,1,1,"4,5,4,4",0,1.3,,/mnt/ssd1/datasets/ImageNet/extracted/rec,/mnt/ssd1/joseph/cifar,imagenet,False,,"bn,max_pool,relu,fp_conv",False,float32,120,,"0,1",64,last,64,imagenet,gaussian,None,device,image-classification.log,100,0.001997,0.1,cosine,"30,60,90",cosine,densenet_flex,0.9,4,radam,meta/plot,,model,False,meta/eta,"2.2,2.2,2",,,1,123,,0,False,False,0,0.0,0.0,det_sign,meta/tblogs,3, 6064.601399,"106_densenet_4,5,4,4_ib_radam",0.434219,0.686840,0.352677,0.590523
6948392,6119424,26.51,3.89,4810000000.0,185250000.0,4620000000.0,257500000.0,det_sign,,,medium,,32,False,1,1,"4,5,4,4",0,1.3,,/mnt/ssd1/datasets/ImageNet/extracted/rec,/mnt/ssd1/joseph/cifar,imagenet,False,,"bn,max_pool,relu,fp_conv",False,float32,120,,"0,1",64,last,64,imagenet,gaussian,None,device,image-classification.log,100,0.001995,0.1,cosine,"30,60,90",cosine,densenet_flex,0.9,4,radam,meta/plot,,model,False,meta/eta,"2.2,2.2,2",,,1,123,,0,False,False,0,0.0,0.0,det_sign,meta/tblogs,4, 6064.099187,"106_densenet_4,5,4,4_ib_radam",0.456786,0.704325,0.385721,0.624110
6948392,6119424,26.51,3.89,4810000000.0,185250000.0,4620000000.0,257500000.0,det_sign,,,medium,,32,False,1,1,"4,5,4,4",0,1.3,,/mnt/ssd1/datasets/ImageNet/extracted/rec,/mnt/ssd1/joseph/cifar,imagenet,False,,"bn,max_pool,relu,fp_conv",False,float32,120,,"0,1",64,last,64,imagenet,gaussian,None,device,image-classification.log,100,0.001991,0.1,cosine,"30,60,90",cosine,densenet_flex,0.9,4,radam,meta/plot,,model,False,meta/eta,"2.2,2.2,2",,,1,123,,0,False,False,0,0.0,0.0,det_sign,meta/tblogs,5, 6060.244854,"106_densenet_4,5,4,4_ib_radam",0.481258,0.725943,0.407934,0.645472
6948392,6119424,26.51,3.89,4810000000.0,185250000.0,4620000000.0,257500000.0,det_sign,,,medium,,32,False,1,1,"4,5,4,4",0,1.3,,/mnt/ssd1/datasets/ImageNet/extracted/rec,/mnt/ssd1/joseph/cifar,imagenet,False,,"bn,max_pool,relu,fp_conv",False,float32,120,,"0,1",64,last,64,imagenet,gaussian,None,device,image-classification.log,100,0.001988,0.1,cosine,"30,60,90",cosine,densenet_flex,0.9,4,radam,meta/plot,,model,False,meta/eta,"2.2,2.2,2",,,1,123,,0,False,False,0,0.0,0.0,det_sign,meta/tblogs,6, 6026.522106,"106_densenet_4,5,4,4_ib_radam",0.497479,0.735735,0.423184,0.659890
6948392,6119424,26.51,3.89,4810000000.0,185250000.0,4620000000.0,257500000.0,det_sign,,,medium,,32,False,1,1,"4,5,4,4",0,1.3,,/mnt/ssd1/datasets/ImageNet/extracted/rec,/mnt/ssd1/joseph/cifar,imagenet,False,,"bn,max_pool,relu,fp_conv",False,float32,120,,"0,1",64,last,64,imagenet,gaussian,None,device,image-classification.log,100,0.001983,0.1,cosine,"30,60,90",cosine,densenet_flex,0.9,4,radam,meta/plot,,model,False,meta/eta,"2.2,2.2,2",,,1,123,,0,False,False,0,0.0,0.0,det_sign,meta/tblogs,7, 6049.604963,"106_densenet_4,5,4,4_ib_radam",0.505762,0.745359,0.435759,0.671731
6948392,6119424,26.51,3.89,4810000000.0,185250000.0,4620000000.0,257500000.0,det_sign,,,medium,,32,False,1,1,"4,5,4,4",0,1.3,,/mnt/ssd1/datasets/ImageNet/extracted/rec,/mnt/ssd1/joseph/cifar,imagenet,False,,"bn,max_pool,relu,fp_conv",False,float32,120,,"0,1",64,last,64,imagenet,gaussian,None,device,image-classification.log,100,0.001978,0.1,cosine,"30,60,90",cosine,densenet_flex,0.9,4,radam,meta/plot,,model,False,meta/eta,"2.2,2.2,2",,,1,123,,0,False,False,0,0.0,0.0,det_sign,meta/tblogs,8, 6066.952207,"106_densenet_4,5,4,4_ib_radam",0.513664,0.750100,0.444880,0.679034
6948392,6119424,26.51,3.89,4810000000.0,185250000.0,4620000000.0,257500000.0,det_sign,,,medium,,32,False,1,1,"4,5,4,4",0,1.3,,/mnt/ssd1/datasets/ImageNet/extracted/rec,/mnt/ssd1/joseph/cifar,imagenet,False,,"bn,max_pool,relu,fp_conv",False,float32,120,,"0,1",64,last,64,imagenet,gaussian,None,device,image-classification.log,100,0.001972,0.1,cosine,"30,60,90",cosine,densenet_flex,0.9,4,radam,meta/plot,,model,False,meta/eta,"2.2,2.2,2",,,1,123,,0,False,False,0,0.0,0.0,det_sign,meta/tblogs,9, 6058.491207,"106_densenet_4,5,4,4_ib_radam",0.519262,0.757972,0.452420,0.687057
6948392,6119424,26.51,3.89,4810000000.0,185250000.0,4620000000.0,257500000.0,det_sign,,,medium,,32,False,1,1,"4,5,4,4",0,1.3,,/mnt/ssd1/datasets/ImageNet/extracted/rec,/mnt/ssd1/joseph/cifar,imagenet,False,,"bn,max_pool,relu,fp_conv",False,float32,120,,"0,1",64,last,64,imagenet,gaussian,None,device,image-classification.log,100,0.001966,0.1,cosine,"30,60,90",cosine,densenet_flex,0.9,4,radam,meta/plot,,model,False,meta/eta,"2.2,2.2,2",,,1,123,,0,False,False,0,0.0,0.0,det_sign,meta/tblogs,10, 6065.223502,"106_densenet_4,5,4,4_ib_radam",0.527189,0.765145,0.459662,0.692761
