augmentation_level,batch_norm,batch_size,bits,bits_a,builtin_profiler,clip_threshold,data_dir,data_path,dataset,dtype,epochs,gpus,growth_rate,init_features,initialization,kvstore,log,log_interval,lr,lr_factor,lr_steps,mean_subtraction,mode,model,momentum,num_workers,optimizer,plot_network,prefix,profile,reduction,resume,save_frequency,seed,start_epoch,use_pretrained,wd,write_summary,epoch,time,exp_folder_name,val_acc,val_acc_top_k_5,train_acc,train_acc_top_k_5
3,False,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,float32,60,"0,1",128,128,gaussian,device,image-classification.log,50,0.001,0.1,"30,40,50",False,None,densenet21,0.9,4,adam,None,model,False,None,,10,123,0,False,0.0,meta/tblogs'),1,,.,0.179628,0.383292,0.099629,0.237892
3,False,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,float32,60,"0,1",128,128,gaussian,device,image-classification.log,50,0.001,0.1,"30,40,50",False,None,densenet21,0.9,4,adam,None,model,False,None,,10,123,0,False,0.0,meta/tblogs'),2,,.,0.225492,0.441661,0.226943,0.444630
3,False,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,float32,60,"0,1",128,128,gaussian,device,image-classification.log,50,0.001,0.1,"30,40,50",False,None,densenet21,0.9,4,adam,None,model,False,None,,10,123,0,False,0.0,meta/tblogs'),3,,.,0.315881,0.555998,0.297028,0.532647
3,False,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,float32,60,"0,1",128,128,gaussian,device,image-classification.log,50,0.001,0.1,"30,40,50",False,None,densenet21,0.9,4,adam,None,model,False,None,,10,123,0,False,0.0,meta/tblogs'),4,,.,0.340669,0.583867,0.341821,0.583424
3,False,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,float32,60,"0,1",128,128,gaussian,device,image-classification.log,50,0.001,0.1,"30,40,50",False,None,densenet21,0.9,4,adam,None,model,False,None,,10,123,0,False,0.0,meta/tblogs'),5,,.,0.362532,0.608356,0.373414,0.617442
3,False,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,float32,60,"0,1",128,128,gaussian,device,image-classification.log,50,0.001,0.1,"30,40,50",False,None,densenet21,0.9,4,adam,None,model,False,None,,10,123,0,False,0.0,meta/tblogs'),6,,.,0.367338,0.613096,0.397894,0.641142
3,False,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,float32,60,"0,1",128,128,gaussian,device,image-classification.log,50,0.001,0.1,"30,40,50",False,None,densenet21,0.9,4,adam,None,model,False,None,,10,123,0,False,0.0,meta/tblogs'),7,,.,0.394566,0.642906,0.417405,0.660537
3,False,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,float32,60,"0,1",128,128,gaussian,device,image-classification.log,50,0.001,0.1,"30,40,50",False,None,densenet21,0.9,4,adam,None,model,False,None,,10,123,0,False,0.0,meta/tblogs'),8,,.,0.395547,0.640805,0.432177,0.675469
3,False,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,float32,60,"0,1",128,128,gaussian,device,image-classification.log,50,0.001,0.1,"30,40,50",False,None,densenet21,0.9,4,adam,None,model,False,None,,10,123,0,False,0.0,meta/tblogs'),9,,.,0.411965,0.654492,0.444792,0.686680
3,False,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,float32,60,"0,1",128,128,gaussian,device,image-classification.log,50,0.001,0.1,"30,40,50",False,None,densenet21,0.9,4,adam,None,model,False,None,,10,123,0,False,0.0,meta/tblogs'),10,,.,0.429217,0.671215,0.454762,0.696222
