add_relu_to_downsample,augmentation_level,batch_norm,batch_size,bits,bits_a,builtin_profiler,clip_threshold,data_dir,data_path,dataset,dry_run,dtype,epochs,fp_downsample_sc,gpus,growth_rate,init_features,initialization,kvstore,log,log_interval,lr,lr_factor,lr_steps,mean_subtraction,mode,model,momentum,num_workers,optimizer,plot_network,pool_downsample_sc,prefix,profile,reduction,resume,save_frequency,seed,slices,start_epoch,use_approx_sign,use_pretrained,wd,write_summary,epoch,time,exp_folder_name,val_acc,val_acc_top_k_5,train_acc,train_acc_top_k_5
True,3,False,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,False,float32,40,True,"0,1",128,128,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,densenet21,0.9,4,adam,meta/plot,False,model,False,"2,2,2",,1,123,1,0,False,False,0.0,meta/tblogs'),1,,.,0.217271,0.435502,0.143187,0.314707
True,3,False,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,False,float32,40,True,"0,1",128,128,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,densenet21,0.9,4,adam,meta/plot,False,model,False,"2,2,2",,1,123,1,0,False,False,0.0,meta/tblogs'),2,,.,0.290393,0.526929,0.300971,0.543013
True,3,False,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,False,float32,40,True,"0,1",128,128,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,densenet21,0.9,4,adam,meta/plot,False,model,False,"2,2,2",,1,123,1,0,False,False,0.0,meta/tblogs'),3,,.,0.360655,0.607454,0.372459,0.621471
True,3,False,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,False,float32,40,True,"0,1",128,128,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,densenet21,0.9,4,adam,meta/plot,False,model,False,"2,2,2",,1,123,1,0,False,False,0.0,meta/tblogs'),4,,.,0.370919,0.615417,0.413794,0.662525
True,3,False,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,False,float32,40,True,"0,1",128,128,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,densenet21,0.9,4,adam,meta/plot,False,model,False,"2,2,2",,1,123,1,0,False,False,0.0,meta/tblogs'),5,,.,0.421316,0.669198,0.441324,0.688036
True,3,False,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,False,float32,40,True,"0,1",128,128,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,densenet21,0.9,4,adam,meta/plot,False,model,False,"2,2,2",,1,123,1,0,False,False,0.0,meta/tblogs'),6,,.,0.427237,0.672995,0.460894,0.705833
True,3,False,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,False,float32,40,True,"0,1",128,128,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,densenet21,0.9,4,adam,meta/plot,False,model,False,"2,2,2",,1,123,1,0,False,False,0.0,meta/tblogs'),7,,.,0.465429,0.708967,0.476510,0.719506
True,3,False,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,False,float32,40,True,"0,1",128,128,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,densenet21,0.9,4,adam,meta/plot,False,model,False,"2,2,2",,1,123,1,0,False,False,0.0,meta/tblogs'),8,,.,0.455266,0.699084,0.488367,0.729547
True,3,False,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,False,float32,40,True,"0,1",128,128,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,densenet21,0.9,4,adam,meta/plot,False,model,False,"2,2,2",,1,123,1,0,False,False,0.0,meta/tblogs'),9,,.,0.475723,0.717951,0.498423,0.738238
True,3,False,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,False,float32,40,True,"0,1",128,128,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,densenet21,0.9,4,adam,meta/plot,False,model,False,"2,2,2",,1,123,1,0,False,False,0.0,meta/tblogs'),10,,.,0.481174,0.723331,0.506859,0.745166
