num_params,num_params_q,model_size,model_size_q,flops_total,flops_fp,flops_q,flops_combined,activation_method,add_relu_to_downsample,approximation,augmentation,batch_norm,batch_size,batchnorm_at_end,bits,bits_a,block_config,builtin_profiler,clip_threshold,clip_threshold_steps,data_dir,data_path,dataset,dilated,downsample_sc_groups,downsample_structure,dry_run,dtype,epochs,fp_downsample_sc,gpus,growth_rate,improvement_block_type,init_features,initial_layers,initialization,interrupt_at,kvstore,log,log_interval,lr,lr_factor,lr_mode,lr_steps,mode,model,momentum,num_workers,optimizer,plot_network,pool_downsample_sc,prefix,profile,progress,reduction,resume,resume_states,save_frequency,seed,slices,start_epoch,test_run,use_pretrained,warmup_epochs,warmup_lr,wd,weight_quantization,write_summary,epoch,time,exp_folder_name,val_acc,val_acc_top_k_5,train_acc,train_acc_top_k_5
8702248,7593984,33.2,5.13,4710000000.0,199100000.0,4510000000.0,269520000.0,det_sign,,,medium,,16,False,1,1,"6,8,12,6",0,1.3,,/mnt/ssd1/datasets/ImageNet/extracted/rec,/mnt/ssd1/joseph/cifar,imagenet,False,,"bn,max_pool,relu,fp_conv",False,float32,120,,"0,1",64,none,64,imagenet,gaussian,None,device,image-classification.log,100,0.002000,0.1,cosine,"30,60,90",cosine,densenet_flex,0.9,4,radam,meta/plot,,model,False,meta/eta,"3.3,3.3,4",,,1,123,,0,False,False,0,0.0,0.0,det_sign,meta/tblogs,1, 3449.181671,"207_densenet6,8,12,6_radam",0.297325,0.544346,0.139827,0.299520
8702248,7593984,33.2,5.13,4710000000.0,199100000.0,4510000000.0,269520000.0,det_sign,,,medium,,16,False,1,1,"6,8,12,6",0,1.3,,/mnt/ssd1/datasets/ImageNet/extracted/rec,/mnt/ssd1/joseph/cifar,imagenet,False,,"bn,max_pool,relu,fp_conv",False,float32,120,,"0,1",64,none,64,imagenet,gaussian,None,device,image-classification.log,100,0.001999,0.1,cosine,"30,60,90",cosine,densenet_flex,0.9,4,radam,meta/plot,,model,False,meta/eta,"3.3,3.3,4",,,1,123,,0,False,False,0,0.0,0.0,det_sign,meta/tblogs,2, 3434.834002,"207_densenet6,8,12,6_radam",0.398828,0.649028,0.292321,0.519866
8702248,7593984,33.2,5.13,4710000000.0,199100000.0,4510000000.0,269520000.0,det_sign,,,medium,,16,False,1,1,"6,8,12,6",0,1.3,,/mnt/ssd1/datasets/ImageNet/extracted/rec,/mnt/ssd1/joseph/cifar,imagenet,False,,"bn,max_pool,relu,fp_conv",False,float32,120,,"0,1",64,none,64,imagenet,gaussian,None,device,image-classification.log,100,0.001997,0.1,cosine,"30,60,90",cosine,densenet_flex,0.9,4,radam,meta/plot,,model,False,meta/eta,"3.3,3.3,4",,,1,123,,0,False,False,0,0.0,0.0,det_sign,meta/tblogs,3, 3436.631806,"207_densenet6,8,12,6_radam",0.437880,0.689339,0.351385,0.585237
8702248,7593984,33.2,5.13,4710000000.0,199100000.0,4510000000.0,269520000.0,det_sign,,,medium,,16,False,1,1,"6,8,12,6",0,1.3,,/mnt/ssd1/datasets/ImageNet/extracted/rec,/mnt/ssd1/joseph/cifar,imagenet,False,,"bn,max_pool,relu,fp_conv",False,float32,120,,"0,1",64,none,64,imagenet,gaussian,None,device,image-classification.log,100,0.001995,0.1,cosine,"30,60,90",cosine,densenet_flex,0.9,4,radam,meta/plot,,model,False,meta/eta,"3.3,3.3,4",,,1,123,,0,False,False,0,0.0,0.0,det_sign,meta/tblogs,4, 3428.968334,"207_densenet6,8,12,6_radam",0.465269,0.710407,0.381291,0.616214
8702248,7593984,33.2,5.13,4710000000.0,199100000.0,4510000000.0,269520000.0,det_sign,,,medium,,16,False,1,1,"6,8,12,6",0,1.3,,/mnt/ssd1/datasets/ImageNet/extracted/rec,/mnt/ssd1/joseph/cifar,imagenet,False,,"bn,max_pool,relu,fp_conv",False,float32,120,,"0,1",64,none,64,imagenet,gaussian,None,device,image-classification.log,100,0.001991,0.1,cosine,"30,60,90",cosine,densenet_flex,0.9,4,radam,meta/plot,,model,False,meta/eta,"3.3,3.3,4",,,1,123,,0,False,False,0,0.0,0.0,det_sign,meta/tblogs,5, 3431.865326,"207_densenet6,8,12,6_radam",0.483605,0.728147,0.402378,0.637163
8702248,7593984,33.2,5.13,4710000000.0,199100000.0,4510000000.0,269520000.0,det_sign,,,medium,,16,False,1,1,"6,8,12,6",0,1.3,,/mnt/ssd1/datasets/ImageNet/extracted/rec,/mnt/ssd1/joseph/cifar,imagenet,False,,"bn,max_pool,relu,fp_conv",False,float32,120,,"0,1",64,none,64,imagenet,gaussian,None,device,image-classification.log,100,0.001988,0.1,cosine,"30,60,90",cosine,densenet_flex,0.9,4,radam,meta/plot,,model,False,meta/eta,"3.3,3.3,4",,,1,123,,0,False,False,0,0.0,0.0,det_sign,meta/tblogs,6, 3431.103728,"207_densenet6,8,12,6_radam",0.493418,0.735055,0.416950,0.650959
8702248,7593984,33.2,5.13,4710000000.0,199100000.0,4510000000.0,269520000.0,det_sign,,,medium,,16,False,1,1,"6,8,12,6",0,1.3,,/mnt/ssd1/datasets/ImageNet/extracted/rec,/mnt/ssd1/joseph/cifar,imagenet,False,,"bn,max_pool,relu,fp_conv",False,float32,120,,"0,1",64,none,64,imagenet,gaussian,None,device,image-classification.log,100,0.001983,0.1,cosine,"30,60,90",cosine,densenet_flex,0.9,4,radam,meta/plot,,model,False,meta/eta,"3.3,3.3,4",,,1,123,,0,False,False,0,0.0,0.0,det_sign,meta/tblogs,7, 3427.169325,"207_densenet6,8,12,6_radam",0.508717,0.746461,0.428608,0.662334
8702248,7593984,33.2,5.13,4710000000.0,199100000.0,4510000000.0,269520000.0,det_sign,,,medium,,16,False,1,1,"6,8,12,6",0,1.3,,/mnt/ssd1/datasets/ImageNet/extracted/rec,/mnt/ssd1/joseph/cifar,imagenet,False,,"bn,max_pool,relu,fp_conv",False,float32,120,,"0,1",64,none,64,imagenet,gaussian,None,device,image-classification.log,100,0.001978,0.1,cosine,"30,60,90",cosine,densenet_flex,0.9,4,radam,meta/plot,,model,False,meta/eta,"3.3,3.3,4",,,1,123,,0,False,False,0,0.0,0.0,det_sign,meta/tblogs,8, 3426.851710,"207_densenet6,8,12,6_radam",0.511824,0.748299,0.437918,0.670391
8702248,7593984,33.2,5.13,4710000000.0,199100000.0,4510000000.0,269520000.0,det_sign,,,medium,,16,False,1,1,"6,8,12,6",0,1.3,,/mnt/ssd1/datasets/ImageNet/extracted/rec,/mnt/ssd1/joseph/cifar,imagenet,False,,"bn,max_pool,relu,fp_conv",False,float32,120,,"0,1",64,none,64,imagenet,gaussian,None,device,image-classification.log,100,0.001972,0.1,cosine,"30,60,90",cosine,densenet_flex,0.9,4,radam,meta/plot,,model,False,meta/eta,"3.3,3.3,4",,,1,123,,0,False,False,0,0.0,0.0,det_sign,meta/tblogs,9, 3426.887669,"207_densenet6,8,12,6_radam",0.513456,0.751560,0.445709,0.677967
8702248,7593984,33.2,5.13,4710000000.0,199100000.0,4510000000.0,269520000.0,det_sign,,,medium,,16,False,1,1,"6,8,12,6",0,1.3,,/mnt/ssd1/datasets/ImageNet/extracted/rec,/mnt/ssd1/joseph/cifar,imagenet,False,,"bn,max_pool,relu,fp_conv",False,float32,120,,"0,1",64,none,64,imagenet,gaussian,None,device,image-classification.log,100,0.001966,0.1,cosine,"30,60,90",cosine,densenet_flex,0.9,4,radam,meta/plot,,model,False,meta/eta,"3.3,3.3,4",,,1,123,,0,False,False,0,0.0,0.0,det_sign,meta/tblogs,10, 3423.590524,"207_densenet6,8,12,6_radam",0.525148,0.759063,0.451869,0.682953
