augmentation_level,batch_norm,batch_size,bits,bits_a,builtin_profiler,clip_threshold,data_dir,data_path,dataset,dtype,epochs,gpus,growth_rate,init_features,initialization,kvstore,log,log_interval,lr,lr_factor,lr_steps,mean_subtraction,mode,model,momentum,num_workers,optimizer,plot_network,prefix,profile,reduction,resume,save_frequency,seed,start_epoch,use_pretrained,wd,write_summary,epoch,time,exp_folder_name,val_acc,val_acc_top_k_5,train_acc,train_acc_top_k_5
3,False,128,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,float32,40,"0,1",None,None,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,resnet18_v2-scaled,0.9,4,adam,meta/plot,model,False,None,,1,123,0,False,0.0,meta/tblogs'),1,,.,0.079624,0.202845,0.044390,0.126340
3,False,128,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,float32,40,"0,1",None,None,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,resnet18_v2-scaled,0.9,4,adam,meta/plot,model,False,None,,1,123,0,False,0.0,meta/tblogs'),2,,.,0.180946,0.373342,0.138930,0.313079
3,False,128,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,float32,40,"0,1",None,None,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,resnet18_v2-scaled,0.9,4,adam,meta/plot,model,False,None,,1,123,0,False,0.0,meta/tblogs'),3,,.,0.224800,0.439042,0.205221,0.412677
3,False,128,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,float32,40,"0,1",None,None,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,resnet18_v2-scaled,0.9,4,adam,meta/plot,model,False,None,,1,123,0,False,0.0,meta/tblogs'),4,,.,0.265105,0.490229,0.255486,0.479117
3,False,128,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,float32,40,"0,1",None,None,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,resnet18_v2-scaled,0.9,4,adam,meta/plot,model,False,None,,1,123,0,False,0.0,meta/tblogs'),5,,.,0.288343,0.524756,0.291587,0.524415
3,False,128,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,float32,40,"0,1",None,None,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,resnet18_v2-scaled,0.9,4,adam,meta/plot,model,False,None,,1,123,0,False,0.0,meta/tblogs'),6,,.,0.308914,0.547175,0.320003,0.557416
3,False,128,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,float32,40,"0,1",None,None,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,resnet18_v2-scaled,0.9,4,adam,meta/plot,model,False,None,,1,123,0,False,0.0,meta/tblogs'),7,,.,0.329983,0.573469,0.342297,0.582576
3,False,128,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,float32,40,"0,1",None,None,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,resnet18_v2-scaled,0.9,4,adam,meta/plot,model,False,None,,1,123,0,False,0.0,meta/tblogs'),8,,.,0.342808,0.585958,0.360040,0.602201
3,False,128,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,float32,40,"0,1",None,None,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,resnet18_v2-scaled,0.9,4,adam,meta/plot,model,False,None,,1,123,0,False,0.0,meta/tblogs'),9,,.,0.342951,0.585258,0.374453,0.617660
3,False,128,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,float32,40,"0,1",None,None,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,resnet18_v2-scaled,0.9,4,adam,meta/plot,model,False,None,,1,123,0,False,0.0,meta/tblogs'),10,,.,0.363371,0.605619,0.387100,0.630163
3,False,128,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,float32,40,"0,1",None,None,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,resnet18_v2-scaled,0.9,4,adam,meta/plot,model,False,None,,1,123,0,False,0.0,meta/tblogs'),11,,.,0.367188,0.611779,0.398295,0.641325
3,False,128,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,float32,40,"0,1",None,None,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,resnet18_v2-scaled,0.9,4,adam,meta/plot,model,False,None,,1,123,0,False,0.0,meta/tblogs'),12,,.,0.376738,0.622582,0.407025,0.650665
3,False,128,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,float32,40,"0,1",None,None,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,resnet18_v2-scaled,0.9,4,adam,meta/plot,model,False,None,,1,123,0,False,0.0,meta/tblogs'),13,,.,0.379895,0.624001,0.415200,0.658457
3,False,128,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,float32,40,"0,1",None,None,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,resnet18_v2-scaled,0.9,4,adam,meta/plot,model,False,None,,1,123,0,False,0.0,meta/tblogs'),14,,.,0.382552,0.630288,0.422356,0.666054
3,False,128,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,float32,40,"0,1",None,None,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,resnet18_v2-scaled,0.9,4,adam,meta/plot,model,False,None,,1,123,0,False,0.0,meta/tblogs'),15,,.,0.391544,0.637188,0.428920,0.671914
3,False,128,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,float32,40,"0,1",None,None,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,resnet18_v2-scaled,0.9,4,adam,meta/plot,model,False,None,,1,123,0,False,0.0,meta/tblogs'),16,,.,0.395693,0.638161,0.434947,0.677886
3,False,128,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,float32,40,"0,1",None,None,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,resnet18_v2-scaled,0.9,4,adam,meta/plot,model,False,None,,1,123,0,False,0.0,meta/tblogs'),17,,.,0.396719,0.645480,0.440441,0.683456
3,False,128,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,float32,40,"0,1",None,None,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,resnet18_v2-scaled,0.9,4,adam,meta/plot,model,False,None,,1,123,0,False,0.0,meta/tblogs'),18,,.,0.394901,0.638607,0.445807,0.688518
3,False,128,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,float32,40,"0,1",None,None,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,resnet18_v2-scaled,0.9,4,adam,meta/plot,model,False,None,,1,123,0,False,0.0,meta/tblogs'),19,,.,0.406530,0.652023,0.450388,0.692999
3,False,128,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,float32,40,"0,1",None,None,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,resnet18_v2-scaled,0.9,4,adam,meta/plot,model,False,None,,1,123,0,False,0.0,meta/tblogs'),20,,.,0.395420,0.645320,0.454728,0.696823
3,False,128,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,float32,40,"0,1",None,None,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,resnet18_v2-scaled,0.9,4,adam,meta/plot,model,False,None,,1,123,0,False,0.0,meta/tblogs'),21,,.,0.410606,0.655191,0.458115,0.700388
3,False,128,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,float32,40,"0,1",None,None,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,resnet18_v2-scaled,0.9,4,adam,meta/plot,model,False,None,,1,123,0,False,0.0,meta/tblogs'),22,,.,0.416847,0.664884,0.462140,0.703724
3,False,128,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,float32,40,"0,1",None,None,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,resnet18_v2-scaled,0.9,4,adam,meta/plot,model,False,None,,1,123,0,False,0.0,meta/tblogs'),23,,.,0.420436,0.668298,0.465480,0.706630
3,False,128,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,float32,40,"0,1",None,None,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,resnet18_v2-scaled,0.9,4,adam,meta/plot,model,False,None,,1,123,0,False,0.0,meta/tblogs'),24,,.,0.427804,0.674639,0.468663,0.710390
3,False,128,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,float32,40,"0,1",None,None,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,resnet18_v2-scaled,0.9,4,adam,meta/plot,model,False,None,,1,123,0,False,0.0,meta/tblogs'),25,,.,0.412164,0.659027,0.471779,0.712449
