augmentation_level,batch_norm,batch_size,bits,bits_a,builtin_profiler,clip_threshold,data_dir,data_path,dataset,dtype,epochs,gpus,growth_rate,init_features,initialization,kvstore,log,log_interval,lr,lr_factor,lr_steps,mean_subtraction,mode,model,momentum,num_workers,optimizer,plot_network,prefix,profile,reduction,resume,save_frequency,seed,start_epoch,use_pretrained,wd,write_summary,epoch,time,exp_folder_name,val_acc,val_acc_top_k_5,train_acc,train_acc_top_k_5
3,False,64,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,float32,60,"0,1",64,64,gaussian,device,image-classification.log,50,0.001,0.1,"30,40,50",False,imperative,densenet37,0.9,4,adam,None,model,False,None,,10,123,0,False,0.0,meta/tblogs'),1,,.,0.162624,0.354719,0.094421,0.228549
3,False,64,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,float32,60,"0,1",64,64,gaussian,device,image-classification.log,50,0.001,0.1,"30,40,50",False,imperative,densenet37,0.9,4,adam,None,model,False,None,,10,123,0,False,0.0,meta/tblogs'),2,,.,0.221991,0.436320,0.218547,0.433472
3,False,64,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,float32,60,"0,1",64,64,gaussian,device,image-classification.log,50,0.001,0.1,"30,40,50",False,imperative,densenet37,0.9,4,adam,None,model,False,None,,10,123,0,False,0.0,meta/tblogs'),3,,.,0.272607,0.506202,0.289706,0.523847
3,False,64,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,float32,60,"0,1",64,64,gaussian,device,image-classification.log,50,0.001,0.1,"30,40,50",False,imperative,densenet37,0.9,4,adam,None,model,False,None,,10,123,0,False,0.0,meta/tblogs'),4,,.,0.320783,0.561800,0.335743,0.577657
3,False,64,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,float32,60,"0,1",64,64,gaussian,device,image-classification.log,50,0.001,0.1,"30,40,50",False,imperative,densenet37,0.9,4,adam,None,model,False,None,,10,123,0,False,0.0,meta/tblogs'),5,,.,0.354200,0.599425,0.368679,0.612301
3,False,64,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,float32,60,"0,1",64,64,gaussian,device,image-classification.log,50,0.001,0.1,"30,40,50",False,imperative,densenet37,0.9,4,adam,None,model,False,None,,10,123,0,False,0.0,meta/tblogs'),6,,.,0.380602,0.625460,0.393600,0.636898
3,False,64,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,float32,60,"0,1",64,64,gaussian,device,image-classification.log,50,0.001,0.1,"30,40,50",False,imperative,densenet37,0.9,4,adam,None,model,False,None,,10,123,0,False,0.0,meta/tblogs'),7,,.,0.383763,0.631682,0.412907,0.656721
3,False,64,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,float32,60,"0,1",64,64,gaussian,device,image-classification.log,50,0.001,0.1,"30,40,50",False,imperative,densenet37,0.9,4,adam,None,model,False,None,,10,123,0,False,0.0,meta/tblogs'),8,,.,0.399988,0.647647,0.428162,0.671457
3,False,64,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,float32,60,"0,1",64,64,gaussian,device,image-classification.log,50,0.001,0.1,"30,40,50",False,imperative,densenet37,0.9,4,adam,None,model,False,None,,10,123,0,False,0.0,meta/tblogs'),9,,.,0.414542,0.660985,0.441576,0.682941
3,False,64,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,float32,60,"0,1",64,64,gaussian,device,image-classification.log,50,0.001,0.1,"30,40,50",False,imperative,densenet37,0.9,4,adam,None,model,False,None,,10,123,0,False,0.0,meta/tblogs'),10,,.,0.428777,0.672295,0.452116,0.694146
3,False,64,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,float32,60,"0,1",64,64,gaussian,device,image-classification.log,50,0.001,0.1,"30,40,50",False,imperative,densenet37,0.9,4,adam,None,model,False,None,,10,123,0,False,0.0,meta/tblogs'),11,,.,0.435619,0.681058,0.461955,0.702707
