augmentation_level,batch_norm,batch_size,bits,bits_a,builtin_profiler,clip_threshold,data_dir,data_path,dataset,dtype,epochs,gpus,growth_rate,init_features,initialization,kvstore,log,log_interval,lr,lr_factor,lr_steps,mean_subtraction,mode,model,momentum,num_workers,optimizer,plot_network,prefix,profile,reduction,resume,save_frequency,seed,start_epoch,use_pretrained,wd,write_summary,epoch,time,exp_folder_name,val_acc,val_acc_top_k_5,train_acc,train_acc_top_k_5
3,False,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,float32,60,"0,1",256,128,gaussian,device,image-classification.log,50,0.001,0.1,"30,40,50",False,None,densenet13,0.9,4,adam,None,model,False,None,,10,123,0,False,0.0,meta/tblogs'),1,,.,0.161025,0.352042,0.098277,0.235319
3,False,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,float32,60,"0,1",256,128,gaussian,device,image-classification.log,50,0.001,0.1,"30,40,50",False,None,densenet13,0.9,4,adam,None,model,False,None,,10,123,0,False,0.0,meta/tblogs'),2,,.,0.227113,0.447903,0.219107,0.433309
3,False,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,float32,60,"0,1",256,128,gaussian,device,image-classification.log,50,0.001,0.1,"30,40,50",False,None,densenet13,0.9,4,adam,None,model,False,None,,10,123,0,False,0.0,meta/tblogs'),3,,.,0.249180,0.470070,0.284170,0.517134
3,False,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,float32,60,"0,1",256,128,gaussian,device,image-classification.log,50,0.001,0.1,"30,40,50",False,None,densenet13,0.9,4,adam,None,model,False,None,,10,123,0,False,0.0,meta/tblogs'),4,,.,0.312560,0.554938,0.325983,0.565088
3,False,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,float32,60,"0,1",256,128,gaussian,device,image-classification.log,50,0.001,0.1,"30,40,50",False,None,densenet13,0.9,4,adam,None,model,False,None,,10,123,0,False,0.0,meta/tblogs'),5,,.,0.323789,0.562960,0.356052,0.597734
3,False,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,float32,60,"0,1",256,128,gaussian,device,image-classification.log,50,0.001,0.1,"30,40,50",False,None,densenet13,0.9,4,adam,None,model,False,None,,10,123,0,False,0.0,meta/tblogs'),6,,.,0.351813,0.594930,0.378384,0.621089
3,False,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,float32,60,"0,1",256,128,gaussian,device,image-classification.log,50,0.001,0.1,"30,40,50",False,None,densenet13,0.9,4,adam,None,model,False,None,,10,123,0,False,0.0,meta/tblogs'),7,,.,0.365557,0.608155,0.396191,0.638238
3,False,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,float32,60,"0,1",256,128,gaussian,device,image-classification.log,50,0.001,0.1,"30,40,50",False,None,densenet13,0.9,4,adam,None,model,False,None,,10,123,0,False,0.0,meta/tblogs'),8,,.,0.373480,0.615177,0.410310,0.652537
3,False,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,float32,60,"0,1",256,128,gaussian,device,image-classification.log,50,0.001,0.1,"30,40,50",False,None,densenet13,0.9,4,adam,None,model,False,None,,10,123,0,False,0.0,meta/tblogs'),9,,.,0.381893,0.622343,0.422341,0.664131
3,False,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,float32,60,"0,1",256,128,gaussian,device,image-classification.log,50,0.001,0.1,"30,40,50",False,None,densenet13,0.9,4,adam,None,model,False,None,,10,123,0,False,0.0,meta/tblogs'),10,,.,0.364617,0.607234,0.432260,0.674440
3,False,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,float32,60,"0,1",256,128,gaussian,device,image-classification.log,50,0.001,0.1,"30,40,50",False,None,densenet13,0.9,4,adam,None,model,False,None,,10,123,0,False,0.0,meta/tblogs'),11,,.,0.400688,0.644966,0.441162,0.682457
3,False,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,float32,60,"0,1",256,128,gaussian,device,image-classification.log,50,0.001,0.1,"30,40,50",False,None,densenet13,0.9,4,adam,None,model,False,None,,10,123,0,False,0.0,meta/tblogs'),12,,.,0.399848,0.644606,0.448710,0.689373
3,False,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,float32,60,"0,1",256,128,gaussian,device,image-classification.log,50,0.001,0.1,"30,40,50",False,None,densenet13,0.9,4,adam,None,model,False,None,,10,123,0,False,0.0,meta/tblogs'),13,,.,0.418438,0.662604,0.455060,0.695297
3,False,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,float32,60,"0,1",256,128,gaussian,device,image-classification.log,50,0.001,0.1,"30,40,50",False,None,densenet13,0.9,4,adam,None,model,False,None,,10,123,0,False,0.0,meta/tblogs'),14,,.,0.423676,0.668214,0.460667,0.700600
3,False,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,float32,60,"0,1",256,128,gaussian,device,image-classification.log,50,0.001,0.1,"30,40,50",False,None,densenet13,0.9,4,adam,None,model,False,None,,10,123,0,False,0.0,meta/tblogs'),15,,.,0.425896,0.668054,0.465805,0.705259
3,False,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,float32,60,"0,1",256,128,gaussian,device,image-classification.log,50,0.001,0.1,"30,40,50",False,None,densenet13,0.9,4,adam,None,model,False,None,,10,123,0,False,0.0,meta/tblogs'),16,,.,0.415893,0.656350,0.470130,0.709376
3,False,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,float32,60,"0,1",256,128,gaussian,device,image-classification.log,50,0.001,0.1,"30,40,50",False,None,densenet13,0.9,4,adam,None,model,False,None,,10,123,0,False,0.0,meta/tblogs'),17,,.,0.421875,0.663203,0.474187,0.712607
3,False,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,float32,60,"0,1",256,128,gaussian,device,image-classification.log,50,0.001,0.1,"30,40,50",False,None,densenet13,0.9,4,adam,None,model,False,None,,10,123,0,False,0.0,meta/tblogs'),18,,.,0.433199,0.676276,0.477846,0.715947
3,False,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,float32,60,"0,1",256,128,gaussian,device,image-classification.log,50,0.001,0.1,"30,40,50",False,None,densenet13,0.9,4,adam,None,model,False,None,,10,123,0,False,0.0,meta/tblogs'),19,,.,0.427957,0.670995,0.481357,0.719679
3,False,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,float32,60,"0,1",256,128,gaussian,device,image-classification.log,50,0.001,0.1,"30,40,50",False,None,densenet13,0.9,4,adam,None,model,False,None,,10,123,0,False,0.0,meta/tblogs'),20,,.,0.438380,0.679457,0.484916,0.722271
3,False,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,float32,60,"0,1",256,128,gaussian,device,image-classification.log,50,0.001,0.1,"30,40,50",False,None,densenet13,0.9,4,adam,None,model,False,None,,10,123,0,False,0.0,meta/tblogs'),21,,.,0.430227,0.674892,0.486731,0.724407
3,False,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,float32,60,"0,1",256,128,gaussian,device,image-classification.log,50,0.001,0.1,"30,40,50",False,None,densenet13,0.9,4,adam,None,model,False,None,,10,123,0,False,0.0,meta/tblogs'),22,,.,0.428877,0.668714,0.489646,0.726878
3,False,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,float32,60,"0,1",256,128,gaussian,device,image-classification.log,50,0.001,0.1,"30,40,50",False,None,densenet13,0.9,4,adam,None,model,False,None,,10,123,0,False,0.0,meta/tblogs'),23,,.,0.446883,0.687580,0.491637,0.728806
3,False,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,float32,60,"0,1",256,128,gaussian,device,image-classification.log,50,0.001,0.1,"30,40,50",False,None,densenet13,0.9,4,adam,None,model,False,None,,10,123,0,False,0.0,meta/tblogs'),24,,.,0.444362,0.685339,0.494805,0.731603
3,False,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,float32,60,"0,1",256,128,gaussian,device,image-classification.log,50,0.001,0.1,"30,40,50",False,None,densenet13,0.9,4,adam,None,model,False,None,,10,123,0,False,0.0,meta/tblogs'),25,,.,0.450567,0.689998,0.496719,0.733437
3,False,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,float32,60,"0,1",256,128,gaussian,device,image-classification.log,50,0.001,0.1,"30,40,50",False,None,densenet13,0.9,4,adam,None,model,False,None,,10,123,0,False,0.0,meta/tblogs'),26,,.,0.443562,0.687420,0.498596,0.734775
3,False,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,float32,60,"0,1",256,128,gaussian,device,image-classification.log,50,0.001,0.1,"30,40,50",False,None,densenet13,0.9,4,adam,None,model,False,None,,10,123,0,False,0.0,meta/tblogs'),27,,.,0.443242,0.688460,0.500068,0.736115
