num_params,num_params_q,model_size,model_size_q,flops_total,flops_fp,flops_q,flops_combined,activation_method,add_relu_to_downsample,approximation,augmentation,batch_norm,batch_size,batchnorm_at_end,bits,bits_a,block_config,builtin_profiler,clip_threshold,clip_threshold_steps,data_dir,data_path,dataset,dilated,downsample_sc_groups,downsample_structure,dry_run,dtype,epochs,fp_downsample_sc,gpus,growth_rate,improvement_block_type,init_features,initial_layers,initialization,interrupt_at,kvstore,log,log_interval,lr,lr_factor,lr_mode,lr_steps,mode,model,momentum,num_workers,optimizer,plot_network,pool_downsample_sc,prefix,profile,progress,reduction,resume,resume_states,save_frequency,seed,slices,start_epoch,test_run,use_pretrained,warmup_epochs,warmup_lr,wd,weight_quantization,write_summary,epoch,time,exp_folder_name,val_acc,val_acc_top_k_5,train_acc,train_acc_top_k_5
12239176,11280384,46.69,5.0,5830000000.0,106420000.0,5720000000.0,195840000.0,det_sign,,,medium,,32,False,1,1,"4,6,8,6",0,1.3,,/mnt/ssd1/datasets/ImageNet/extracted/rec,/mnt/ssd1/joseph/cifar,imagenet,False,,"bn,max_pool,relu,cs:16,fp_conv:2",False,float32,120,,"0,1",64,last,64,deepstem_grouped,gaussian,None,device,image-classification.log,100,0.002000,0.1,cosine,"30,60,90",cosine,densenet_flex,0.9,4,radam,meta/plot,,model,False,meta/eta,"2.2,2.4,2.4",,,1,123,,0,False,False,0,0.0,0.0,det_sign,meta/tblogs,1, 4582.727169,"208_densenet_4,6,8,6_low_flops",0.316936,0.568374,0.153969,0.324978
12239176,11280384,46.69,5.0,5830000000.0,106420000.0,5720000000.0,195840000.0,det_sign,,,medium,,32,False,1,1,"4,6,8,6",0,1.3,,/mnt/ssd1/datasets/ImageNet/extracted/rec,/mnt/ssd1/joseph/cifar,imagenet,False,,"bn,max_pool,relu,cs:16,fp_conv:2",False,float32,120,,"0,1",64,last,64,deepstem_grouped,gaussian,None,device,image-classification.log,100,0.001999,0.1,cosine,"30,60,90",cosine,densenet_flex,0.9,4,radam,meta/plot,,model,False,meta/eta,"2.2,2.4,2.4",,,1,123,,0,False,False,0,0.0,0.0,det_sign,meta/tblogs,2, 4533.950611,"208_densenet_4,6,8,6_low_flops",0.415513,0.668974,0.318458,0.554211
12239176,11280384,46.69,5.0,5830000000.0,106420000.0,5720000000.0,195840000.0,det_sign,,,medium,,32,False,1,1,"4,6,8,6",0,1.3,,/mnt/ssd1/datasets/ImageNet/extracted/rec,/mnt/ssd1/joseph/cifar,imagenet,False,,"bn,max_pool,relu,cs:16,fp_conv:2",False,float32,120,,"0,1",64,last,64,deepstem_grouped,gaussian,None,device,image-classification.log,100,0.001997,0.1,cosine,"30,60,90",cosine,densenet_flex,0.9,4,radam,meta/plot,,model,False,meta/eta,"2.2,2.4,2.4",,,1,123,,0,False,False,0,0.0,0.0,det_sign,meta/tblogs,3, 4534.079742,"208_densenet_4,6,8,6_low_flops",0.464449,0.711348,0.380666,0.618849
12239176,11280384,46.69,5.0,5830000000.0,106420000.0,5720000000.0,195840000.0,det_sign,,,medium,,32,False,1,1,"4,6,8,6",0,1.3,,/mnt/ssd1/datasets/ImageNet/extracted/rec,/mnt/ssd1/joseph/cifar,imagenet,False,,"bn,max_pool,relu,cs:16,fp_conv:2",False,float32,120,,"0,1",64,last,64,deepstem_grouped,gaussian,None,device,image-classification.log,100,0.001995,0.1,cosine,"30,60,90",cosine,densenet_flex,0.9,4,radam,meta/plot,,model,False,meta/eta,"2.2,2.4,2.4",,,1,123,,0,False,False,0,0.0,0.0,det_sign,meta/tblogs,4, 4532.736920,"208_densenet_4,6,8,6_low_flops",0.485775,0.731254,0.415208,0.652088
12239176,11280384,46.69,5.0,5830000000.0,106420000.0,5720000000.0,195840000.0,det_sign,,,medium,,32,False,1,1,"4,6,8,6",0,1.3,,/mnt/ssd1/datasets/ImageNet/extracted/rec,/mnt/ssd1/joseph/cifar,imagenet,False,,"bn,max_pool,relu,cs:16,fp_conv:2",False,float32,120,,"0,1",64,last,64,deepstem_grouped,gaussian,None,device,image-classification.log,100,0.001991,0.1,cosine,"30,60,90",cosine,densenet_flex,0.9,4,radam,meta/plot,,model,False,meta/eta,"2.2,2.4,2.4",,,1,123,,0,False,False,0,0.0,0.0,det_sign,meta/tblogs,5, 4536.440823,"208_densenet_4,6,8,6_low_flops",0.513087,0.754136,0.437101,0.673555
12239176,11280384,46.69,5.0,5830000000.0,106420000.0,5720000000.0,195840000.0,det_sign,,,medium,,32,False,1,1,"4,6,8,6",0,1.3,,/mnt/ssd1/datasets/ImageNet/extracted/rec,/mnt/ssd1/joseph/cifar,imagenet,False,,"bn,max_pool,relu,cs:16,fp_conv:2",False,float32,120,,"0,1",64,last,64,deepstem_grouped,gaussian,None,device,image-classification.log,100,0.001988,0.1,cosine,"30,60,90",cosine,densenet_flex,0.9,4,radam,meta/plot,,model,False,meta/eta,"2.2,2.4,2.4",,,1,123,,0,False,False,0,0.0,0.0,det_sign,meta/tblogs,6, 4530.603832,"208_densenet_4,6,8,6_low_flops",0.521147,0.760643,0.453063,0.687694
12239176,11280384,46.69,5.0,5830000000.0,106420000.0,5720000000.0,195840000.0,det_sign,,,medium,,32,False,1,1,"4,6,8,6",0,1.3,,/mnt/ssd1/datasets/ImageNet/extracted/rec,/mnt/ssd1/joseph/cifar,imagenet,False,,"bn,max_pool,relu,cs:16,fp_conv:2",False,float32,120,,"0,1",64,last,64,deepstem_grouped,gaussian,None,device,image-classification.log,100,0.001983,0.1,cosine,"30,60,90",cosine,densenet_flex,0.9,4,radam,meta/plot,,model,False,meta/eta,"2.2,2.4,2.4",,,1,123,,0,False,False,0,0.0,0.0,det_sign,meta/tblogs,7, 4563.566247,"208_densenet_4,6,8,6_low_flops",0.534611,0.770387,0.466591,0.699212
12239176,11280384,46.69,5.0,5830000000.0,106420000.0,5720000000.0,195840000.0,det_sign,,,medium,,32,False,1,1,"4,6,8,6",0,1.3,,/mnt/ssd1/datasets/ImageNet/extracted/rec,/mnt/ssd1/joseph/cifar,imagenet,False,,"bn,max_pool,relu,cs:16,fp_conv:2",False,float32,120,,"0,1",64,last,64,deepstem_grouped,gaussian,None,device,image-classification.log,100,0.001978,0.1,cosine,"30,60,90",cosine,densenet_flex,0.9,4,radam,meta/plot,,model,False,meta/eta,"2.2,2.4,2.4",,,1,123,,0,False,False,0,0.0,0.0,det_sign,meta/tblogs,8, 4567.788205,"208_densenet_4,6,8,6_low_flops",0.539253,0.774268,0.476993,0.708304
12239176,11280384,46.69,5.0,5830000000.0,106420000.0,5720000000.0,195840000.0,det_sign,,,medium,,32,False,1,1,"4,6,8,6",0,1.3,,/mnt/ssd1/datasets/ImageNet/extracted/rec,/mnt/ssd1/joseph/cifar,imagenet,False,,"bn,max_pool,relu,cs:16,fp_conv:2",False,float32,120,,"0,1",64,last,64,deepstem_grouped,gaussian,None,device,image-classification.log,100,0.001972,0.1,cosine,"30,60,90",cosine,densenet_flex,0.9,4,radam,meta/plot,,model,False,meta/eta,"2.2,2.4,2.4",,,1,123,,0,False,False,0,0.0,0.0,det_sign,meta/tblogs,9, 4575.456558,"208_densenet_4,6,8,6_low_flops",0.548953,0.781430,0.484690,0.715282
12239176,11280384,46.69,5.0,5830000000.0,106420000.0,5720000000.0,195840000.0,det_sign,,,medium,,32,False,1,1,"4,6,8,6",0,1.3,,/mnt/ssd1/datasets/ImageNet/extracted/rec,/mnt/ssd1/joseph/cifar,imagenet,False,,"bn,max_pool,relu,cs:16,fp_conv:2",False,float32,120,,"0,1",64,last,64,deepstem_grouped,gaussian,None,device,image-classification.log,100,0.001966,0.1,cosine,"30,60,90",cosine,densenet_flex,0.9,4,radam,meta/plot,,model,False,meta/eta,"2.2,2.4,2.4",,,1,123,,0,False,False,0,0.0,0.0,det_sign,meta/tblogs,10, 4529.911492,"208_densenet_4,6,8,6_low_flops",0.554657,0.787832,0.491482,0.721271
12239176,11280384,46.69,5.0,5830000000.0,106420000.0,5720000000.0,195840000.0,det_sign,,,medium,,32,False,1,1,"4,6,8,6",0,1.3,,/mnt/ssd1/datasets/ImageNet/extracted/rec,/mnt/ssd1/joseph/cifar,imagenet,False,,"bn,max_pool,relu,cs:16,fp_conv:2",False,float32,120,,"0,1",64,last,64,deepstem_grouped,gaussian,None,device,image-classification.log,100,0.001959,0.1,cosine,"30,60,90",cosine,densenet_flex,0.9,4,radam,meta/plot,,model,False,meta/eta,"2.2,2.4,2.4",,,1,123,,0,False,False,0,0.0,0.0,det_sign,meta/tblogs,11, 4527.884109,"208_densenet_4,6,8,6_low_flops",0.556438,0.788772,0.497814,0.726918
12239176,11280384,46.69,5.0,5830000000.0,106420000.0,5720000000.0,195840000.0,det_sign,,,medium,,32,False,1,1,"4,6,8,6",0,1.3,,/mnt/ssd1/datasets/ImageNet/extracted/rec,/mnt/ssd1/joseph/cifar,imagenet,False,,"bn,max_pool,relu,cs:16,fp_conv:2",False,float32,120,,"0,1",64,last,64,deepstem_grouped,gaussian,None,device,image-classification.log,100,0.001951,0.1,cosine,"30,60,90",cosine,densenet_flex,0.9,4,radam,meta/plot,,model,False,meta/eta,"2.2,2.4,2.4",,,1,123,,0,False,False,0,0.0,0.0,det_sign,meta/tblogs,12, 4535.485740,"208_densenet_4,6,8,6_low_flops",0.560819,0.791273,0.503113,0.730778
12239176,11280384,46.69,5.0,5830000000.0,106420000.0,5720000000.0,195840000.0,det_sign,,,medium,,32,False,1,1,"4,6,8,6",0,1.3,,/mnt/ssd1/datasets/ImageNet/extracted/rec,/mnt/ssd1/joseph/cifar,imagenet,False,,"bn,max_pool,relu,cs:16,fp_conv:2",False,float32,120,,"0,1",64,last,64,deepstem_grouped,gaussian,None,device,image-classification.log,100,0.001943,0.1,cosine,"30,60,90",cosine,densenet_flex,0.9,4,radam,meta/plot,,model,False,meta/eta,"2.2,2.4,2.4",,,1,123,,0,False,False,0,0.0,0.0,det_sign,meta/tblogs,13, 4525.356310,"208_densenet_4,6,8,6_low_flops",0.565617,0.795736,0.507542,0.734906
12239176,11280384,46.69,5.0,5830000000.0,106420000.0,5720000000.0,195840000.0,det_sign,,,medium,,32,False,1,1,"4,6,8,6",0,1.3,,/mnt/ssd1/datasets/ImageNet/extracted/rec,/mnt/ssd1/joseph/cifar,imagenet,False,,"bn,max_pool,relu,cs:16,fp_conv:2",False,float32,120,,"0,1",64,last,64,deepstem_grouped,gaussian,None,device,image-classification.log,100,0.001934,0.1,cosine,"30,60,90",cosine,densenet_flex,0.9,4,radam,meta/plot,,model,False,meta/eta,"2.2,2.4,2.4",,,1,123,,0,False,False,0,0.0,0.0,det_sign,meta/tblogs,14, 4527.774318,"208_densenet_4,6,8,6_low_flops",0.572683,0.798896,0.511574,0.738073
12239176,11280384,46.69,5.0,5830000000.0,106420000.0,5720000000.0,195840000.0,det_sign,,,medium,,32,False,1,1,"4,6,8,6",0,1.3,,/mnt/ssd1/datasets/ImageNet/extracted/rec,/mnt/ssd1/joseph/cifar,imagenet,False,,"bn,max_pool,relu,cs:16,fp_conv:2",False,float32,120,,"0,1",64,last,64,deepstem_grouped,gaussian,None,device,image-classification.log,100,0.001924,0.1,cosine,"30,60,90",cosine,densenet_flex,0.9,4,radam,meta/plot,,model,False,meta/eta,"2.2,2.4,2.4",,,1,123,,0,False,False,0,0.0,0.0,det_sign,meta/tblogs,15, 4526.401454,"208_densenet_4,6,8,6_low_flops",0.572623,0.800876,0.515744,0.741884
12239176,11280384,46.69,5.0,5830000000.0,106420000.0,5720000000.0,195840000.0,det_sign,,,medium,,32,False,1,1,"4,6,8,6",0,1.3,,/mnt/ssd1/datasets/ImageNet/extracted/rec,/mnt/ssd1/joseph/cifar,imagenet,False,,"bn,max_pool,relu,cs:16,fp_conv:2",False,float32,120,,"0,1",64,last,64,deepstem_grouped,gaussian,None,device,image-classification.log,100,0.001914,0.1,cosine,"30,60,90",cosine,densenet_flex,0.9,4,radam,meta/plot,,model,False,meta/eta,"2.2,2.4,2.4",,,1,123,,0,False,False,0,0.0,0.0,det_sign,meta/tblogs,16, 4526.564177,"208_densenet_4,6,8,6_low_flops",0.574884,0.802117,0.518914,0.744734
12239176,11280384,46.69,5.0,5830000000.0,106420000.0,5720000000.0,195840000.0,det_sign,,,medium,,32,False,1,1,"4,6,8,6",0,1.3,,/mnt/ssd1/datasets/ImageNet/extracted/rec,/mnt/ssd1/joseph/cifar,imagenet,False,,"bn,max_pool,relu,cs:16,fp_conv:2",False,float32,120,,"0,1",64,last,64,deepstem_grouped,gaussian,None,device,image-classification.log,100,0.001903,0.1,cosine,"30,60,90",cosine,densenet_flex,0.9,4,radam,meta/plot,,model,False,meta/eta,"2.2,2.4,2.4",,,1,123,,0,False,False,0,0.0,0.0,det_sign,meta/tblogs,17, 4526.344936,"208_densenet_4,6,8,6_low_flops",0.578485,0.804688,0.522301,0.747480
12239176,11280384,46.69,5.0,5830000000.0,106420000.0,5720000000.0,195840000.0,det_sign,,,medium,,32,False,1,1,"4,6,8,6",0,1.3,,/mnt/ssd1/datasets/ImageNet/extracted/rec,/mnt/ssd1/joseph/cifar,imagenet,False,,"bn,max_pool,relu,cs:16,fp_conv:2",False,float32,120,,"0,1",64,last,64,deepstem_grouped,gaussian,None,device,image-classification.log,100,0.001891,0.1,cosine,"30,60,90",cosine,densenet_flex,0.9,4,radam,meta/plot,,model,False,meta/eta,"2.2,2.4,2.4",,,1,123,,0,False,False,0,0.0,0.0,det_sign,meta/tblogs,18, 4522.873782,"208_densenet_4,6,8,6_low_flops",0.582486,0.806218,0.525055,0.749780
12239176,11280384,46.69,5.0,5830000000.0,106420000.0,5720000000.0,195840000.0,det_sign,,,medium,,32,False,1,1,"4,6,8,6",0,1.3,,/mnt/ssd1/datasets/ImageNet/extracted/rec,/mnt/ssd1/joseph/cifar,imagenet,False,,"bn,max_pool,relu,cs:16,fp_conv:2",False,float32,120,,"0,1",64,last,64,deepstem_grouped,gaussian,None,device,image-classification.log,100,0.001879,0.1,cosine,"30,60,90",cosine,densenet_flex,0.9,4,radam,meta/plot,,model,False,meta/eta,"2.2,2.4,2.4",,,1,123,,0,False,False,0,0.0,0.0,det_sign,meta/tblogs,19, 4522.770232,"208_densenet_4,6,8,6_low_flops",0.584607,0.810339,0.528138,0.752561
12239176,11280384,46.69,5.0,5830000000.0,106420000.0,5720000000.0,195840000.0,det_sign,,,medium,,32,False,1,1,"4,6,8,6",0,1.3,,/mnt/ssd1/datasets/ImageNet/extracted/rec,/mnt/ssd1/joseph/cifar,imagenet,False,,"bn,max_pool,relu,cs:16,fp_conv:2",False,float32,120,,"0,1",64,last,64,deepstem_grouped,gaussian,None,device,image-classification.log,100,0.001866,0.1,cosine,"30,60,90",cosine,densenet_flex,0.9,4,radam,meta/plot,,model,False,meta/eta,"2.2,2.4,2.4",,,1,123,,0,False,False,0,0.0,0.0,det_sign,meta/tblogs,20, 4525.557111,"208_densenet_4,6,8,6_low_flops",0.585988,0.810579,0.530601,0.754103
