add_relu_to_downsample,augmentation_level,batch_norm,batch_size,bits,bits_a,builtin_profiler,clip_threshold,data_dir,data_path,dataset,dry_run,dtype,epochs,fp_downsample_sc,gpus,growth_rate,init_features,initialization,kvstore,log,log_interval,lr,lr_factor,lr_steps,mean_subtraction,mode,model,momentum,num_workers,optimizer,plot_network,pool_downsample_sc,prefix,profile,reduction,resume,save_frequency,seed,slices,start_epoch,use_approx_sign,use_pretrained,wd,write_summary,epoch,time,exp_folder_name,val_acc,val_acc_top_k_5,train_acc,train_acc_top_k_5
,3,False,128,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,False,float32,60,True,"0,1",None,None,gaussian,device,image-classification.log,20,0.001,0.1,"40,50",False,imperative,resnet34_e1,0.9,4,adam,meta/plot,True,model,False,None,model/resnet34_e1_1bit_0020_acc_0.5392.params,1,123,1,21,False,False,0.0,meta/tblogs'),22,,.,0.531130,0.769741,0.607276,0.828027
,3,False,128,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,False,float32,60,True,"0,1",None,None,gaussian,device,image-classification.log,20,0.001,0.1,"40,50",False,imperative,resnet34_e1,0.9,4,adam,meta/plot,True,model,False,None,model/resnet34_e1_1bit_0020_acc_0.5392.params,1,123,1,21,False,False,0.0,meta/tblogs'),23,,.,0.540201,0.774776,0.611168,0.831195
,3,False,128,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,False,float32,60,True,"0,1",None,None,gaussian,device,image-classification.log,20,0.001,0.1,"40,50",False,imperative,resnet34_e1,0.9,4,adam,meta/plot,True,model,False,None,model/resnet34_e1_1bit_0020_acc_0.5392.params,1,123,1,21,False,False,0.0,meta/tblogs'),24,,.,0.545192,0.777544,0.614009,0.833068
,3,False,128,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,False,float32,60,True,"0,1",None,None,gaussian,device,image-classification.log,20,0.001,0.1,"40,50",False,imperative,resnet34_e1,0.9,4,adam,meta/plot,True,model,False,None,model/resnet34_e1_1bit_0020_acc_0.5392.params,1,123,1,21,False,False,0.0,meta/tblogs'),25,,.,0.546375,0.780291,0.617438,0.835655
,3,False,128,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,False,float32,60,True,"0,1",None,None,gaussian,device,image-classification.log,20,0.001,0.1,"40,50",False,imperative,resnet34_e1,0.9,4,adam,meta/plot,True,model,False,None,model/resnet34_e1_1bit_0020_acc_0.5392.params,1,123,1,21,False,False,0.0,meta/tblogs'),26,,.,0.546056,0.777314,0.619659,0.837317
,3,False,128,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,False,float32,60,True,"0,1",None,None,gaussian,device,image-classification.log,20,0.001,0.1,"40,50",False,imperative,resnet34_e1,0.9,4,adam,meta/plot,True,model,False,None,model/resnet34_e1_1bit_0020_acc_0.5392.params,1,123,1,21,False,False,0.0,meta/tblogs'),27,,.,0.549239,0.781671,0.622318,0.839583
,3,False,128,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,False,float32,60,True,"0,1",None,None,gaussian,device,image-classification.log,20,0.001,0.1,"40,50",False,imperative,resnet34_e1,0.9,4,adam,meta/plot,True,model,False,None,model/resnet34_e1_1bit_0020_acc_0.5392.params,1,123,1,21,False,False,0.0,meta/tblogs'),28,,.,0.546675,0.780830,0.624039,0.840843
,3,False,128,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,False,float32,60,True,"0,1",None,None,gaussian,device,image-classification.log,20,0.001,0.1,"40,50",False,imperative,resnet34_e1,0.9,4,adam,meta/plot,True,model,False,None,model/resnet34_e1_1bit_0020_acc_0.5392.params,1,123,1,21,False,False,0.0,meta/tblogs'),29,,.,0.551002,0.783734,0.626521,0.842514
,3,False,128,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,False,float32,60,True,"0,1",None,None,gaussian,device,image-classification.log,20,0.001,0.1,"40,50",False,imperative,resnet34_e1,0.9,4,adam,meta/plot,True,model,False,None,model/resnet34_e1_1bit_0020_acc_0.5392.params,1,123,1,21,False,False,0.0,meta/tblogs'),30,,.,0.550651,0.783048,0.628685,0.844303
,3,False,128,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,False,float32,60,True,"0,1",None,None,gaussian,device,image-classification.log,20,0.001,0.1,"40,50",False,imperative,resnet34_e1,0.9,4,adam,meta/plot,True,model,False,None,model/resnet34_e1_1bit_0020_acc_0.5392.params,1,123,1,21,False,False,0.0,meta/tblogs'),31,,.,0.548593,0.782029,0.630916,0.845676
