activation_method,add_relu_to_downsample,augmentation_level,batch_norm,batch_size,bits,bits_a,builtin_profiler,clip_threshold,data_dir,data_path,dataset,dry_run,dtype,epochs,fp_downsample_sc,gpus,growth_rate,init_features,initialization,kvstore,log,log_interval,lr,lr_factor,lr_steps,mean_subtraction,mode,model,momentum,num_workers,optimizer,plot_network,pool_downsample_sc,prefix,profile,reduction,resume,save_frequency,seed,slices,start_epoch,use_approx_sign,use_pretrained,wd,weight_quantization,write_summary,epoch,time,exp_folder_name,val_acc,val_acc_top_k_5,train_acc,train_acc_top_k_5
det_sign,True,3,,32,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,False,float32,50,True,"0,1,2",160,128,gaussian,device,image-classification.log,10,0.001,0.1,"40,45",False,imperative,densenet21,0.9,4,adam,meta/plot,,model,False,"2.2,2.2,2.2",,1,123,,0,,False,0.0,det_sign,meta/tblogs'),1, 2193.829426,.,0.217190,0.439739,0.138991,0.308373
det_sign,True,3,,32,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,False,float32,50,True,"0,1,2",160,128,gaussian,device,image-classification.log,10,0.001,0.1,"40,45",False,imperative,densenet21,0.9,4,adam,meta/plot,,model,False,"2.2,2.2,2.2",,1,123,,0,,False,0.0,det_sign,meta/tblogs'),2, 2203.454477,.,0.334513,0.587172,0.299472,0.542466
det_sign,True,3,,32,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,False,float32,50,True,"0,1,2",160,128,gaussian,device,image-classification.log,10,0.001,0.1,"40,45",False,imperative,densenet21,0.9,4,adam,meta/plot,,model,False,"2.2,2.2,2.2",,1,123,,0,,False,0.0,det_sign,meta/tblogs'),3, 2199.865475,.,0.372121,0.625380,0.374821,0.624505
det_sign,True,3,,32,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,False,float32,50,True,"0,1,2",160,128,gaussian,device,image-classification.log,10,0.001,0.1,"40,45",False,imperative,densenet21,0.9,4,adam,meta/plot,,model,False,"2.2,2.2,2.2",,1,123,,0,,False,0.0,det_sign,meta/tblogs'),4, 2202.862383,.,0.420345,0.672025,0.418702,0.667606
det_sign,True,3,,32,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,False,float32,50,True,"0,1,2",160,128,gaussian,device,image-classification.log,10,0.001,0.1,"40,45",False,imperative,densenet21,0.9,4,adam,meta/plot,,model,False,"2.2,2.2,2.2",,1,123,,0,,False,0.0,det_sign,meta/tblogs'),5, 2174.984200,.,0.422785,0.673604,0.448094,0.694795
det_sign,True,3,,32,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,False,float32,50,True,"0,1,2",160,128,gaussian,device,image-classification.log,10,0.001,0.1,"40,45",False,imperative,densenet21,0.9,4,adam,meta/plot,,model,False,"2.2,2.2,2.2",,1,123,,0,,False,0.0,det_sign,meta/tblogs'),6, 2163.891506,.,0.444932,0.692528,0.469727,0.713969
det_sign,True,3,,32,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,False,float32,50,True,"0,1,2",160,128,gaussian,device,image-classification.log,10,0.001,0.1,"40,45",False,imperative,densenet21,0.9,4,adam,meta/plot,,model,False,"2.2,2.2,2.2",,1,123,,0,,False,0.0,det_sign,meta/tblogs'),7, 2166.395977,.,0.460493,0.706534,0.486079,0.728751
det_sign,True,3,,32,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,False,float32,50,True,"0,1,2",160,128,gaussian,device,image-classification.log,10,0.001,0.1,"40,45",False,imperative,densenet21,0.9,4,adam,meta/plot,,model,False,"2.2,2.2,2.2",,1,123,,0,,False,0.0,det_sign,meta/tblogs'),8, 2167.919372,.,0.481546,0.726428,0.499462,0.739544
det_sign,True,3,,32,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,False,float32,50,True,"0,1,2",160,128,gaussian,device,image-classification.log,10,0.001,0.1,"40,45",False,imperative,densenet21,0.9,4,adam,meta/plot,,model,False,"2.2,2.2,2.2",,1,123,,0,,False,0.0,det_sign,meta/tblogs'),9, 2168.881224,.,0.491943,0.733605,0.509514,0.747790
det_sign,True,3,,32,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,False,float32,50,True,"0,1,2",160,128,gaussian,device,image-classification.log,10,0.001,0.1,"40,45",False,imperative,densenet21,0.9,4,adam,meta/plot,,model,False,"2.2,2.2,2.2",,1,123,,0,,False,0.0,det_sign,meta/tblogs'),10, 2164.034627,.,0.496081,0.738064,0.518581,0.755729
