activation_method,add_relu_to_downsample,augmentation_level,batch_size,bits,bits_a,builtin_profiler,clip_threshold,data_dir,data_path,dataset,dry_run,dtype,epochs,fp_downsample_sc,gpus,growth_rate,init_features,initialization,kvstore,log,log_interval,lr,lr_factor,lr_steps,mean_subtraction,mode,model,momentum,num_workers,optimizer,plot_network,prefix,profile,reduction,resume,save_frequency,seed,start_epoch,use_pretrained,wd,weight_quantization,write_summary,epoch,time,exp_folder_name,val_acc,val_acc_top_k_5,train_acc,train_acc_top_k_5
det_sign,True,3,32,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,False,float32,50,True,"0,1,2,3",160,128,gaussian,device,image-classification.log,10,0.001,0.1,"40,45",False,imperative,densenet21,0.9,4,adam,meta/plot,model,False,"2,2,2",,1,123,0,False,0.0,det_sign,meta/tblogs'),1, 1522.278358,.,0.195392,0.404751,0.138692,0.307453
det_sign,True,3,32,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,False,float32,50,True,"0,1,2,3",160,128,gaussian,device,image-classification.log,10,0.001,0.1,"40,45",False,imperative,densenet21,0.9,4,adam,meta/plot,model,False,"2,2,2",,1,123,0,False,0.0,det_sign,meta/tblogs'),2, 1536.932180,.,0.337696,0.586377,0.299610,0.542093
det_sign,True,3,32,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,False,float32,50,True,"0,1,2,3",160,128,gaussian,device,image-classification.log,10,0.001,0.1,"40,45",False,imperative,densenet21,0.9,4,adam,meta/plot,model,False,"2,2,2",,1,123,0,False,0.0,det_sign,meta/tblogs'),3, 1534.549702,.,0.372296,0.625140,0.375934,0.626417
det_sign,True,3,32,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,False,float32,50,True,"0,1,2,3",160,128,gaussian,device,image-classification.log,10,0.001,0.1,"40,45",False,imperative,densenet21,0.9,4,adam,meta/plot,model,False,"2,2,2",,1,123,0,False,0.0,det_sign,meta/tblogs'),4, 1516.490305,.,0.421435,0.673274,0.421385,0.670487
det_sign,True,3,32,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,False,float32,50,True,"0,1,2,3",160,128,gaussian,device,image-classification.log,10,0.001,0.1,"40,45",False,imperative,densenet21,0.9,4,adam,meta/plot,model,False,"2,2,2",,1,123,0,False,0.0,det_sign,meta/tblogs'),5, 1515.230995,.,0.430267,0.680727,0.451476,0.698909
det_sign,True,3,32,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,False,float32,50,True,"0,1,2,3",160,128,gaussian,device,image-classification.log,10,0.001,0.1,"40,45",False,imperative,densenet21,0.9,4,adam,meta/plot,model,False,"2,2,2",,1,123,0,False,0.0,det_sign,meta/tblogs'),6, 1517.733787,.,0.436879,0.685256,0.473770,0.717942
det_sign,True,3,32,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,False,float32,50,True,"0,1,2,3",160,128,gaussian,device,image-classification.log,10,0.001,0.1,"40,45",False,imperative,densenet21,0.9,4,adam,meta/plot,model,False,"2,2,2",,1,123,0,False,0.0,det_sign,meta/tblogs'),7, 1520.322055,.,0.477202,0.721268,0.490286,0.732614
det_sign,True,3,32,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,False,float32,50,True,"0,1,2,3",160,128,gaussian,device,image-classification.log,10,0.001,0.1,"40,45",False,imperative,densenet21,0.9,4,adam,meta/plot,model,False,"2,2,2",,1,123,0,False,0.0,det_sign,meta/tblogs'),8, 1517.118157,.,0.484736,0.729828,0.504663,0.744222
det_sign,True,3,32,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,False,float32,50,True,"0,1,2,3",160,128,gaussian,device,image-classification.log,10,0.001,0.1,"40,45",False,imperative,densenet21,0.9,4,adam,meta/plot,model,False,"2,2,2",,1,123,0,False,0.0,det_sign,meta/tblogs'),9, 1513.300581,.,0.496583,0.739930,0.515694,0.753321
det_sign,True,3,32,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,False,float32,50,True,"0,1,2,3",160,128,gaussian,device,image-classification.log,10,0.001,0.1,"40,45",False,imperative,densenet21,0.9,4,adam,meta/plot,model,False,"2,2,2",,1,123,0,False,0.0,det_sign,meta/tblogs'),10, 1505.366398,.,0.500919,0.741009,0.524992,0.761448
